voedingsgebied_id;jaar;aanwezige_transportcapaciteit_invoeding;aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_invoeding;benodigde_transportcapaciteit_afname;unieke_verzoeken_invoeding;unieke_verzoeken_afname;wachtrij_invoeding;wachtrij_afname;info;congestie_url;jaartal_opgelost_invoeding;jaartal_opgelost_afname;kwartaal;start;eind;RNB
OS DOKKUM 10-1i;2025;22,0;22,0;26,4;18,7;12,0;17,0;2,476;6,99953;;;2031,0;2031,0;4,0;2025-01-01;2025-12-31;Liander
OS DOETINCHEM 20-7i;2025;;;;;;;;;;;;;4,0;2025-01-01;2025-12-31;Liander
OS DOETINCHEM 20-6i;2025;;;;;;;;;;;;;4,0;2025-01-01;2025-12-31;Liander
OS DOETINCHEM 10-5i;2025;106,0;49,0;43,6;48,9;38,0;46,0;12,329;13,39904;;;2026,0;;4,0;2025-01-01;2025-12-31;Liander
OS DOETINCHEM 10-3i;2025;138,3;69,3;23,4;65,9;40,0;50,0;11,366;8,81666;;;;;4,0;2025-01-01;2025-12-31;Liander
OS DODEWAARD 10-1i;2025;96,0;48,0;57,5;54,0;44,0;51,0;16,171;9,27318;;;2033,0;2033,0;4,0;2025-01-01;2025-12-31;Liander
OS DEN HELDER VOGELWIJK 10-1i;2025;19,8;19,8;6,9;18,2;;11,0;;14,55827;;;2032,0;2032,0;4,0;2025-01-01;2025-12-31;Liander
OS DEN HELDER DE SCHOOTEN 10-2i;2025;44,0;44,0;38,4;19,7;23,0;20,0;3,394;8,87697;;;2032,0;2032,0;4,0;2025-01-01;2025-12-31;Liander
OS DE WEEL 20-1i;2025;132,0;88,0;106,6;66,9;72,0;87,0;20,883;39,23575;;;2026,0;2026,0;4,0;2025-01-01;2025-12-31;Liander
OS DE VAART 10-3i;2025;91,5;57,3;28,2;16,7;5,0;9,0;10,635;20,05689;;;2031,0;;4,0;2025-01-01;2025-12-31;Liander
OS DE VAART 10-1i;2025;116,0;69,3;17,6;44,0;46,0;42,0;22,394;13,52879;;;2031,0;;4,0;2025-01-01;2025-12-31;Liander
OS DALE 10-1i;2025;114,0;57,0;72,5;77,6;39,0;56,0;13,014;9,37179;;;2033,0;2033,0;4,0;2025-01-01;2025-12-31;Liander
OS CULEMBORG 50-1i;2025;;;;;49,0;76,0;16,44;19,4315;;;;;4,0;2025-01-01;2025-12-31;Liander
OS CULEMBORG 10-2i;2025;22,2;14,7;20,9;18,7;4,0;7,0;0,657;1,02095;;;2035,0;2035,0;4,0;2025-01-01;2025-12-31;Liander
OS CULEMBORG 10-1i;2025;51,6;44,1;60,2;60,4;45,0;69,0;15,783;18,41055;;;2035,0;2035,0;4,0;2025-01-01;2025-12-31;Liander
OS CRAILO 10-1i;2025;36,0;36,0;7,3;18,4;;9,0;;0,75677;;;2029,0;;4,0;2025-01-01;2025-12-31;Liander
WS;2025;52,78;58,02;50,0;0,147;14,0;2,0;2,967;2,374;;;2030,0;2025,0;;;;Enexis
WRTH;2025;70,49;78,16;67,63087991924273;37,51412904016404;23,0;16,0;15,588;25,951;;;2030,0;2025,0;;;;Enexis
WEW;2025;509,12;518,04;357,73653749;227,49851944351;50,0;7,0;62,55;10,225;;;2025,0;2025,0;;;;Enexis
WVV;2025;33,0;36,58;4,49131833961475;22,62878183290236;20,0;26,0;2,808;10,215;;;2025,0;;;;;Enexis
WSMR;2025;52,83;57,84;53,70296568272209;51,2698521794556;22,0;29,0;4,961;16,886;;;2026,0;2026,0;;;;Enexis
ZLH;2025;90,73;90,73;71,8352533;73,72323987975085;31,0;33,0;43,715;40,424;;;;;;;;Enexis
ZLF;2025;56,49;61,53;24,88551224976293;58,31982011313502;20,0;49,0;9,261;26,512;;;2025,0;2029,0;;;;Enexis
Westerlee;2025;378,0;378,0;378,0;240,0;171,0;0,0;104,0;0,0;;;;;;;;Westland
WW;2025;152,48;167,51;88,16351924562287;107,7487268444957;114,0;126,0;55,465;54,461;;;2030,0;2030,0;;;;Enexis
BEEK;2025;43,19;43,19;25,08695042106684;34,12259521776798;28,0;39,0;10,052;17,999;;;2029,0;2029,0;;;;Enexis
BD;2025;174,23;187,14;65,71170609999999;145,8853662489691;53,0;170,0;15,537;53,1;;;2025,0;2028,0;;;;Enexis
BBS;2025;21,6;21,6;9,424665263440785;19,22742794212709;16,0;30,0;31,632;10,201;;;;2029,0;;;;Enexis
Amstelveen;2025;63,0;56,0;21,6;50,6;;;;;;;;;4,0;2025-01-01;2025-12-31;Liander
ZYV;2025;34,99;36,37;56,41948329039207;34,85671018834668;17,0;27,0;31,318;13,3;;;2026,0;2026,0;;;;Enexis
AMLM;2025;98,0;104,29;30,21485310000001;70,54053972956306;44,0;41,0;14,527999999999999;10,964;;;2025,0;2025,0;;;;Coteq, Enexis
OS DOKKUM 20kV 20-1i;2025;55,0;55,0;33,7;38,8;20,0;19,0;5,198;8,91095;;;2031,0;2031,0;4,0;2025-01-01;2025-12-31;Liander
BOEK;2025;181,94;195,23;118,4427197323611;23,94016772957644;39,0;50,0;36,792;64,105;;;2025,0;2025,0;;;;Enexis
BLER;2025;109,52;110,75;24,43348190323758;85,55303545592659;44,0;75,0;14,352;32,925;;;2025,0;2030,0;;;;Enexis
TT228_10;2025;;;;;0,0;18,0;0,0;3,377;;;;;;;;Stedin
TT224_10_A;2025;;;;;0,0;12,0;0,0;10,367;;;;;;;;Stedin
TT220_10;2025;;;;;0,0;13,0;0,0;4,424;;;;;;;;Stedin
TT219_10_B;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT219_10_A;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT211_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT146_23;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT143_13;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT141_13;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT137_13;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT134_23;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT133_23;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT119_23;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT115_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT110_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT108_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT107_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT106_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT105_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT104_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT103_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT102_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT095_13;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT094_13;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT092_13;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT091_13;2025;;;;;0,0;16,0;0,0;4,924;;;;;;;;Stedin
TT089_13;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT088_13;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT085_13;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT084_13;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT075_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT073_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT072_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT071_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT070_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT069_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT068_23;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT068_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT066_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT065_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
BXT;2025;37,46;41,62;40,194731825;39,60381159755656;12,0;38,0;3,963;23,026;;;2029,0;2029,0;;;;Enexis
BUGG;2025;54,42;54,42;36,68450994844622;57,94631517825477;35,0;44,0;47,851;38,895;;;2026,0;2026,0;;;;Enexis
BT;2025;90,18;101,05;46,65146294412595;80,48665810219163;46,0;114,0;11,376;36,138;;;2028,0;2028,0;;;;Enexis
BOZ;2025;175,06;177,96;38,81631716823632;84,20205262897791;44,0;66,0;8,622;61,434;;;2025,0;2025,0;;;;Enexis
BOSP;2025;41,0;43,19;51,81162025971945;22,21891170302357;10,0;13,0;1,632;4,405;;;;2025,0;;;;Enexis
BORN;2025;148,41;148,81;48,74895835284799;60,10124270750392;26,0;42,0;15,803;69,248;;;2025,0;2025,0;;;;Enexis
TT051_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT050_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT049_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT048_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
CM08;2025;10,0;;31,4;;14,0;20,0;4,212;4,599;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2026,0;;;;;Stedin
CM07;2025;4,1;;7,1;;2,0;6,0;;0,503;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2026,0;;;;;Stedin
CM02;2025;15,0;;12,8;;10,0;8,0;0,916;1,812;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2029,0;;;;;Stedin
CM00;2025;55,0;;116,6;;74,0;45,0;33,877;24,135;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2030,0;;;;;Stedin
