hour,private_p,workplace_p,public_p
0,0.0128068303094984,0.0019960079840319355,0.013765978367748278
1,0.008537886872998933,0.0009980039920159678,0.00983284169124877
2,0.0064034151547492,0.0009980039920159678,0.007866273352999015
3,0.005336179295624333,0.0009980039920159678,0.006882989183874139
4,0.005336179295624333,0.0019960079840319355,0.006882989183874139
5,0.007470651013874067,0.0049900199600798395,0.00983284169124877
6,0.0128068303094984,0.014970059880239518,0.01966568338249754
7,0.021344717182497332,0.05988023952095807,0.0344149459193707
8,0.0288153681963714,0.1796407185628742,0.04424778761061946
9,0.023479188900747065,0.1397205588822355,0.03933136676499508
10,0.0192102454642476,0.08483033932135728,0.037364798426745324
11,0.017075773745997867,0.05988023952095807,0.03933136676499508
12,0.0192102454642476,0.05988023952095807,0.04424778761061946
13,0.021344717182497332,0.07984031936127743,0.04719764011799409
14,0.0256136606189968,0.07984031936127743,0.04916420845624385
15,0.032017075773746,0.07485029940119758,0.05408062930186824
16,0.0576307363927428,0.05988023952095807,0.07374631268436577
17,0.12273212379935967,0.039920159680638716,0.10324483775811208
18,0.176093916755603,0.024950099800399198,0.10816125860373647
19,0.13874066168623267,0.014970059880239518,0.08357915437561454
20,0.10138740661686234,0.007984031936127742,0.0688298918387414
21,0.06616862326574173,0.003992015968063871,0.04916420845624385
22,0.0448239060832444,0.0019960079840319355,0.02949852507374631
23,0.0256136606189968,0.0009980039920159678,0.01966568338249754
