pc4,dwelling_profile,home_charging_share_pct,notes
5611,central apartment,25,Centrum — apartments dominate
5612,central apartment,28,Adjacent to centrum
5613,mixed,35,Mixed urban
5614,mixed,45,Tongelre
5615,mixed,48,Doornakkers
5616,mixed,50,Lakerlopen
5621,suburban SFH,70,Woensel-Noord
5622,suburban SFH,68,Woensel-Noord
5623,suburban SFH,65,Woensel-Noord
5624,suburban SFH,67,Woensel-Zuid
5625,suburban SFH,70,Woensel-Zuid
5626,suburban SFH,72,Woensel
5627,suburban SFH,65,Woensel
5628,suburban SFH,70,Woensel
5629,suburban SFH,75,Tongelreep area
5631,suburban SFH,65,Stratum-Noord
5641,suburban SFH,78,Stratum-Zuid SFH
5642,suburban SFH,75,Stratum SFH
5643,suburban mixed,60,Stratum mixed
5644,suburban SFH,80,Stratum SFH
5645,suburban SFH,75,Stratum
5651,industrial mixed,35,Strijp industrial area
5652,industrial mixed,40,Strijp
5653,industrial mixed,30,Strijp-S redev. apartments
5654,mixed,50,Strijp/Mariënburg
5655,mixed,55,Strijp
5656,industrial mixed,30,Strijp industrial
5657,suburban SFH,70,Halve Maan
5658,suburban SFH,68,Limbeek
5663,suburban SFH,75,Tongelre
5664,suburban mixed,60,Eindhoven-Centrum
5665,suburban SFH,72,Stratum
5673,suburban SFH,78,Nuenen border
5674,suburban SFH,80,Suburb
5681,suburban SFH,82,Bestseweg
5682,suburban SFH,80,Suburb
5683,suburban SFH,78,Best
5684,suburban SFH,82,Suburb
5685,suburban SFH,85,Best fringe SFH
