OBJECTID;ZONE_ID;ZONE_TYPE;NAAM;OMSCHRIJVING;GEOGRAPHY_ID;GEOGRAPHY_TYPE;STARTDATUM;PUBLICATIEDATUM;EINDDATUM;CAPACITEIT_AUTO;CAPACITEIT_SCOOTER;CAPACITEIT_BAKFIETS;CAPACITEIT_FIETS;CAPACITEIT_MIX;geo_shape;geo_point_2d
;;Fysieke Hub;Ambonplein;282:33.335.3a.0031: 't Hofke Type 3a Parkeervak;;;;;;;;;;6;"{""coordinates"": [5.5166734515, 51.4475207895], ""type"": ""Point""}";51.4475207895, 5.5166734515
;;Fysieke Hub;Belgiëplein;43:53.532.2.0050: Tempel Type 2 Fietsenstalling;;;;;;;;;;6;"{""coordinates"": [5.478018472, 51.4800023065], ""type"": ""Point""}";51.4800023065, 5.478018472
;;Fysieke Hub;Woenselse Markt Zuid;267:41.412.2.0022: Hemelrijken Type 2 Fietsenstalling;;;;;;;;;;6;"{""coordinates"": [5.473337102, 51.4502923865], ""type"": ""Point""}";51.4502923865, 5.473337102
;;Fysieke Hub;Trompstraat;1116:41.412.2.0021: Hemelrijken Type 2 Fietsenstalling;;;;;;;;;;6;"{""coordinates"": [5.4696957335, 51.451113553], ""type"": ""Point""}";51.451113553, 5.4696957335
;;Fysieke Hub;Hageheldlaan;1046:33.335.2.0032: 't Hofke Type 2 Parkeervak;;;;;;;;;;6;"{""coordinates"": [5.5201327, 51.4478938355], ""type"": ""Point""}";51.4478938355, 5.5201327
;;Fysieke Hub;Broekakkerseweg;1462:33.333.2.0048: Muschberg, Geestenberg Type 2 Maatwerk;;;;;;;;;;6;"{""coordinates"": [5.5215676005, 51.44413949], ""type"": ""Point""}";51.44413949, 5.5215676005
;;Fysieke Hub;Winkelcentrum Vaartbroek;60:54.543.2.0036: Vaartbroek Type 2 Parkeervak;;;;;;;;;;12;"{""coordinates"": [5.4929609145, 51.47662364], ""type"": ""Point""}";51.47662364, 5.4929609145
;;Fysieke Hub;Sprookjesbosch;44:53.532.2.0045: Tempel Type 2 Parkeervak;;;;;;;;;;10;"{""coordinates"": [5.4856263095, 51.484851944], ""type"": ""Point""}";51.484851944, 5.4856263095
;;Fysieke Hub;Wijnpeerstraat;60:54.543.2.0037: Vaartbroek Type 2 Fietsenstalling;;;;;;;;;;12;"{""coordinates"": [5.492110301, 51.4778326905], ""type"": ""Point""}";51.4778326905, 5.492110301
;;Fysieke Hub;De Mortel;820:52.524.2.0042: Achtse Barrier-Hoeven Type 2 Fietsenstalling;;;;;;;;;;6;"{""coordinates"": [5.442441816, 51.4878436675], ""type"": ""Point""}";51.4878436675, 5.442441816
2298;53479;Digitale Hub;Frederik van Eedenplein;11.112.2.1032: 40 Frederik van Eedenplein;cb413864-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;;;;10;"{""coordinates"": [5.477492496222262, 51.43352701135045], ""type"": ""Point""}";51.43352701135045, 5.477492496222262
2299;53461;Digitale Hub;Student Hotel;11.111.2.1013: 20 Stationsplein zuidzijde;a55faf5e-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;;;;15;"{""coordinates"": [5.480797493854132, 51.44215601098182], ""type"": ""Point""}";51.44215601098182, 5.480797493854132
2300;53478;Digitale Hub;Waaggebouw;11.111.2.1030: 39 Waagstraat;c8b8620c-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;;;;10;"{""coordinates"": [5.478666994613619, 51.43565851109705], ""type"": ""Point""}";51.43565851109705, 5.478666994613619
2301;53466;Digitale Hub;Mathildelaan;11.113.2.1018: 22 Mathildelaan;af819128-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;;;;10;"{""coordinates"": [5.471959992171929, 51.44104051180005], ""type"": ""Point""}";51.44104051180005, 5.471959992171929
2304;53468;Digitale Hub;Victoriahof;11.113.2.1020: 24 Gagelstraat (tijdelijk);b37d1dc4-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;;;;10;"{""coordinates"": [5.471410492908591, 51.440569511532935], ""type"": ""Point""}";51.440569511532935, 5.471410492908591
2562;53469;Digitale Hub;Parkeergarage Mathildelaan;11.113.2.1021: 25 Mathildelaan;b5e6592c-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;;;;10;"{""coordinates"": [5.4732444929853985, 51.44144601178207], ""type"": ""Point""}";51.44144601178207, 5.4732444929853985
