ID;GEOVISIA_ID;STATUS;AANBIEDER;AANSLUITINGEN;DATUMPLAATSING;ADRES;LINKERPARKEERVAK;RECHTERPARKEERVAK;DUMMIES;TYPE_PARKEERPLAATS;geo_shape;geo_point_2d
308859.0;D0B0AEC1-52F6-4342-B913-4C07E0BA8D54;Bestaand;CityCharging;2.0;;Dr. Willem Dreesstraat 38;Deelauto-parkeerplaats;Standaard laadvak;;Deelauto-parkeerplaats, Standaard laadvak;"{""coordinates"": [5.4736877924042595, 51.44718928184462], ""type"": ""Point""}";51.44718928184462, 5.4736877924042595
308860.0;9DC649DC-A4CC-40AC-BE22-C1D55BDCC05C;Bestaand;Park&Charge;2.0;;Pisanostraat 94;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.475823625017034, 51.45809218194303], ""type"": ""Point""}";51.45809218194303, 5.475823625017034
308876.0;CB602644-40AE-4301-A309-3F9630C33E04;Bestaand;Dutch Charge;1.0;;Kwartier;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.453713495967882, 51.492154619417974], ""type"": ""Point""}";51.492154619417974, 5.453713495967882
308799.0;6B0F1FFA-E61E-49D2-9869-79B9D370137E;Bestaand;Opcharge;2.0;2024-02-15T02:00:00+01:00;Urkweg;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.46959664020048, 51.477584615697026], ""type"": ""Point""}";51.477584615697026, 5.46959664020048
308577.0;682A52E2-B77D-48F2-8DC0-235E6F58F562;Bestaand;Vattenfall;2.0;2024-02-26T02:00:00+01:00;Achtse Loop;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.430272465509165, 51.477491558299704], ""type"": ""Point""}";51.477491558299704, 5.430272465509165
308751.0;D131D6B5-915B-4758-9B8E-AA9FC43ED477;Bestaand;Vattenfall;2.0;2024-02-06T02:00:00+01:00;Edisonstraat;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.461992840350803, 51.451788983826], ""type"": ""Point""}";51.451788983826, 5.461992840350803
308866.0;EA8EC5ED-DE06-4989-9B52-109C8CF5B7A7;Bestaand;Onbekend;2.0;;Fransebaan 30;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.450200055516289, 51.480920276363236], ""type"": ""Point""}";51.480920276363236, 5.450200055516289
308892.0;93BCA1AB-6AB8-425F-8B0E-B08AD64C7A04;Bestaand;CityCharging;2.0;;Paganinistraat 2;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.452188766538259, 51.41796761134217], ""type"": ""Point""}";51.41796761134217, 5.452188766538259
308784.0;F8778BF6-F5C9-47D6-9A94-A36F1440F8EC;Bestaand;Opcharge;2.0;2024-02-14T02:00:00+01:00;Doorniklaan 31;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.484465425818856, 51.482871685956184], ""type"": ""Point""}";51.482871685956184, 5.484465425818856
308117.0;57BAD188-BE75-43A3-A8C8-ACBC3C81C084;Bestaand;Allego;2.0;2022-09-12T04:00:00+02:00;Tourslaan;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.4449798853112155, 51.48794411843514], ""type"": ""Point""}";51.48794411843514, 5.4449798853112155
308161.0;B1BDBBC2-A20B-4E9D-88AF-3E028EE19A2E;Bestaand;Allego;2.0;2022-10-31T02:00:00+01:00;Minckelerplein;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.458800124271239, 51.45647083958623], ""type"": ""Point""}";51.45647083958623, 5.458800124271239
308029.0;7E8B1B73-C7EC-4C80-B70B-B935E3842DFF;Bestaand;Park&Charge;2.0;2022-10-19T04:00:00+02:00;Korenwolfstraat/Wezelstraat;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.468489630232049, 51.454011001413015], ""type"": ""Point""}";51.454011001413015, 5.468489630232049
308771.0;335B37C9-782B-4C61-987C-D49CDD6DBD89;Bestaand;Vattenfall;2.0;2024-02-08T02:00:00+01:00;Chamonixlaan;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.447485509827245, 51.485943996082014], ""type"": ""Point""}";51.485943996082014, 5.447485509827245
308779.0;E97FFFD7-E2F0-43ED-AACC-030ADA45CDCB;Bestaand;Opcharge;2.0;2024-02-08T02:00:00+01:00;Franklinplein;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.459828609822683, 51.45373724499728], ""type"": ""Point""}";51.45373724499728, 5.459828609822683
308643.0;5A2925D6-0F92-4436-99B0-A8F61E6A012C;Bestaand;CityCharging;2.0;2023-12-20T02:00:00+01:00;Biarritzplein 5;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.44893170611849, 51.4827928063038], ""type"": ""Point""}";51.4827928063038, 5.44893170611849
308853.0;A616BC4D-7BE0-40B2-BFD8-0AC0C9A80F6B;Bestaand;CityCharging;2.0;;Floralaan Oost 114;Standaard laadvak;Deelauto-parkeerplaats;;Deelauto-parkeerplaats, Standaard laadvak;"{""coordinates"": [5.501029205623067, 51.41690045639856], ""type"": ""Point""}";51.41690045639856, 5.501029205623067
308774.0;97030692-684F-4C6E-A03C-BC4BD6DAE608;Bestaand;Opcharge;2.0;2024-02-08T02:00:00+01:00;Dauphinelaan 64;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.44182611737901, 51.48599956586929], ""type"": ""Point""}";51.48599956586929, 5.44182611737901
308862.0;5FF9639C-C0EF-4E00-82B8-4DEDE7CEA770;Bestaand;CityCharging;2.0;;Pastoriestraat 141;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.472867991902929, 51.45273580400569], ""type"": ""Point""}";51.45273580400569, 5.472867991902929
308875.0;BFB62057-4A86-49D1-924A-C834AD895C5E;Bestaand;Dutch Charge;1.0;;Kwartier;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.453483423470329, 51.492101782476645], ""type"": ""Point""}";51.492101782476645, 5.453483423470329
308768.0;2BE6CC37-D1DD-4410-B496-EF0FFF7216A5;Bestaand;Vattenfall;2.0;2024-02-07T02:00:00+01:00;Scheidingstraat;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.466815836305658, 51.427828152311925], ""type"": ""Point""}";51.427828152311925, 5.466815836305658
308782.0;1200AFD8-28D4-4FBA-B786-FD129E4EED7F;Bestaand;Vattenfall;2.0;2024-02-14T02:00:00+01:00;Diamantring;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.460500291104487, 51.48712679082196], ""type"": ""Point""}";51.48712679082196, 5.460500291104487
308785.0;C13B7D44-E200-4FDC-AC33-24E73320045C;Bestaand;Opcharge;2.0;2024-02-14T02:00:00+01:00;Spiraeastraat 38;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.490532636368518, 51.427410192968374], ""type"": ""Point""}";51.427410192968374, 5.490532636368518
308223.0;D2B14A7D-018A-4459-9270-F45E4B915C97;Bestaand;Opcharge;2.0;;Dopheide;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.4923408594601835, 51.42509394361833], ""type"": ""Point""}";51.42509394361833, 5.4923408594601835
308811.0;23088781-B2FC-4D0E-950A-00335FB35DBE;Bestaand;Opcharge;2.0;;Poemastraat 1;Standaard laadvak;Standaard laadvak;;Standaard laadvak;"{""coordinates"": [5.506938372295947, 51.42227494387626], ""type"": ""Point""}";51.42227494387626, 5.506938372295947
