congestiegebied_afname;congestiegebied_opwek;afname;opwek;tennet_id
Noord-Brabant;Noord-Brabant;3;3;Station Aarle Rixtel 150 kV
Zuid-Holland;Zuid-Holland;0;0;Station Alblasserdam 150 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Almelo Mosterdpot 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Almelo Tusveld 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Almelo Urenco 110 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Almere 150 (CBL)
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Almere De Vaart 150 (CBL)
Zuid-Holland;Zuid-Holland;2;0;Station Alphen a/d Rijn 150 kV
Noord-Holland;Noord-Holland;3;0;Station Amstelveen 150
Noord-Holland;Noord-Holland;3;0;Station Amsterdam Hemweg 150
Noord-Holland;Noord-Holland;3;0;Station Amsterdam Noord Papaverweg 150
Noord-Holland;Noord-Holland;3;0;Station Amsterdam Noord Klaprozenweg 150
Noord-Holland;Noord-Holland Noord;3;3;Station Anna Paulowna 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Apeldoorn 150
Zuid-Holland;Zuid-Holland;0;0;Station Arkel 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Arnhem 150
Drenthe;GDO, Noordelijk deelgebied;1;3;Station Bargermeer 110 kV
Limburg;Limburg;3;3;Station Beek 150 kV
Limburg;Limburg;3;3;Station Beersdal 150 kV
Drenthe;GDO, Noordelijk deelgebied;1;3;Station Beilen 110 kV
Limburg;Limburg;3;3;Station Belfeld 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station Bergen op Zoom 150 kV
Friesland;Friesland;1;3;Station Bergum 110
Noord-Brabant;Noord-Brabant;3;3;Station Best 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station Biesbosch 150 kV
Noord-Holland;Noord-Holland;3;0;Station Bijlmer Noord 150
Noord-Holland;Noord-Holland;3;0;Station Bijlmer Zuid 150
Limburg;Limburg;3;3;Station Blerick 150 kV
Noord-Holland;Noord-Holland Noord;3;3;Station Boekelermeer Zuid 150
Limburg;Limburg;3;3;Station Boekend 150 kV
Friesland;Friesland;1;3;Station Bolsward 110
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Borculo 150
Limburg;Limburg;3;3;Station Born 150 kV
Zeeland;Zeeland;3;0;Station Borssele 150
Haven van Rotterdam;Haven van Rotterdam;3;0;Station Botlek 150
Noord-Brabant;Noord-Brabant;3;3;Station Boxtel 150 kV
Limburg;Limburg;3;3;Station Boxmeer 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station Breda 150 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Breukelen 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Breukelen Kortrijk 150 kV
Limburg;Limburg;3;3;Station Buggenum 150 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Bunschoten
Limburg;Limburg;3;3;Station Californië 150 kV
Overijssel;GDO, Noordelijk deelgebied;3;3;Station Coevorden 110 kV
Limburg;Limburg;3;3;Station Cuyk 150 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Dale 150
Noord-Holland;Noord-Holland Noord;3;3;Station De Weel 150
Zuid-Holland;Zuid-Holland;0;0;Station De Lier 150 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Dedemsvaart 110 kV
Zuid-Holland;Zuid-Holland;2;0;Station Delft 150 kV
Groningen West;GDO, Noordelijk deelgebied;3;3;Station Delfzijl Weiwerd 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Deventer Bergweide 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Deventer Platvoet 110 kV
Noord-Holland;Noord-Holland;3;0;Station Diemen 150
Noord-Brabant;Noord-Brabant;3;3;Station Dinteloord 150kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Dodewaard 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Doetinchem 150
Friesland;Friesland;1;3;Station Dokkum 110
Zuid-Holland;Zuid-Holland;0;0;Station Dordrecht Merwedehaven 150 kV
Zuid-Holland;Zuid-Holland;0;0;Station Dordrecht Zuid 150
Friesland;Friesland;1;3;Station Drachten 110
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Driebergen 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Dronten 150 (CBL)
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Dronten Olsterpad 150kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Druten 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Ede 150
Eemshaven Midden;GDO, Noordelijk deelgebied;3;1;Station Eemshaven Midden 110 kV
Groningen 220/20;Groningen 220/20;1;0;Station Eemshaven Oost 220
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Eerbeek 150
Noord-Brabant;Noord-Brabant;3;3;Station Eerde 150 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Eibergen 110 kV
Noord-Brabant;Noord-Brabant;3;3;Station Eindhoven Noord 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station Eindhoven Oost 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station Eindhoven West 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station Eindhoven Zuid 150 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Elst 150
Noordoostpolder;Noordoostpolder;0;3;Station Emmeloord Zuidervaart 110 kV
Drenthe;GDO, Noordelijk deelgebied;1;3;Station Emmen Weerdingen 110 kV
Noordoostpolder;Noordoostpolder;0;3;Station Ens 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Enschede Heekstraat 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Enschede Marssteden 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Enschede Vechtstraat 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Enschede Wesselerbrink 110 kV
Noord-Brabant;Noord-Brabant;3;3;Station Etten 150 kV
Haven van Rotterdam;Haven van Rotterdam;3;0;Station Europoort 150
Groningen West;GDO, Noordelijk deelgebied;3;3;Station Gasselte Kraanlanden 110 kV
Noord-Brabant;Noord-Brabant;3;3;Station Geertruidenberg 150 kV
Haven van Rotterdam;Haven van Rotterdam;3;0;Station Geervliet 150
Haven van Rotterdam;Haven van Rotterdam;3;0;Station Geervliet Noorddijk 150
Limburg;Limburg;3;3;Station Gennep 150 kV
Zeeland;Zeeland;3;0;Station Goes de Poel 150
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Goor 110 kV
Friesland;Friesland;1;3;Station Gorredijk 110
