ts_local,year,month,dow,hour,price_eur_mwh,price_eur_kwh
2015-01-05 00:00:00,2015,1,0,0,36.56,0.03656
2015-01-05 01:00:00,2015,1,0,1,34.94,0.03494
2015-01-05 02:00:00,2015,1,0,2,32.19,0.032189999999999996
2015-01-05 03:00:00,2015,1,0,3,28.05,0.028050000000000002
2015-01-05 04:00:00,2015,1,0,4,28.04,0.02804
2015-01-05 05:00:00,2015,1,0,5,34.26,0.03426
2015-01-05 06:00:00,2015,1,0,6,37.8,0.0378
2015-01-05 07:00:00,2015,1,0,7,50.38,0.05038
2015-01-05 08:00:00,2015,1,0,8,50.97,0.05097
2015-01-05 09:00:00,2015,1,0,9,41.51,0.04151
2015-01-05 10:00:00,2015,1,0,10,40.46,0.04046
2015-01-05 11:00:00,2015,1,0,11,42.0,0.042
2015-01-05 12:00:00,2015,1,0,12,40.72,0.04072
2015-01-05 13:00:00,2015,1,0,13,41.92,0.04192
2015-01-05 14:00:00,2015,1,0,14,42.0,0.042
2015-01-05 15:00:00,2015,1,0,15,43.1,0.0431
2015-01-05 16:00:00,2015,1,0,16,46.7,0.046700000000000005
2015-01-05 17:00:00,2015,1,0,17,56.78,0.056780000000000004
2015-01-05 18:00:00,2015,1,0,18,58.84,0.05884
2015-01-05 19:00:00,2015,1,0,19,49.23,0.049229999999999996
2015-01-05 20:00:00,2015,1,0,20,44.32,0.04432
2015-01-05 21:00:00,2015,1,0,21,40.0,0.04
2015-01-05 22:00:00,2015,1,0,22,41.78,0.04178
2015-01-05 23:00:00,2015,1,0,23,38.6,0.0386
2015-01-06 00:00:00,2015,1,1,0,36.9,0.036899999999999995
2015-01-06 01:00:00,2015,1,1,1,35.04,0.03504
2015-01-06 02:00:00,2015,1,1,2,34.5,0.0345
2015-01-06 03:00:00,2015,1,1,3,33.47,0.03347
2015-01-06 04:00:00,2015,1,1,4,33.97,0.03397
2015-01-06 05:00:00,2015,1,1,5,36.02,0.03602
2015-01-06 06:00:00,2015,1,1,6,39.96,0.03996
2015-01-06 07:00:00,2015,1,1,7,42.66,0.04266
2015-01-06 08:00:00,2015,1,1,8,44.94,0.04494
2015-01-06 09:00:00,2015,1,1,9,50.87,0.05087
2015-01-06 10:00:00,2015,1,1,10,50.86,0.05086
2015-01-06 11:00:00,2015,1,1,11,50.17,0.05017
2015-01-06 12:00:00,2015,1,1,12,47.97,0.04797
2015-01-06 13:00:00,2015,1,1,13,45.2,0.045200000000000004
2015-01-06 14:00:00,2015,1,1,14,41.45,0.04145
2015-01-06 15:00:00,2015,1,1,15,40.08,0.04008
2015-01-06 16:00:00,2015,1,1,16,43.62,0.04362
2015-01-06 17:00:00,2015,1,1,17,48.55,0.048549999999999996
2015-01-06 18:00:00,2015,1,1,18,45.71,0.04571
2015-01-06 19:00:00,2015,1,1,19,39.94,0.039939999999999996
2015-01-06 20:00:00,2015,1,1,20,44.94,0.04494
2015-01-06 21:00:00,2015,1,1,21,42.51,0.04251
2015-01-06 22:00:00,2015,1,1,22,44.0,0.044
2015-01-06 23:00:00,2015,1,1,23,39.94,0.039939999999999996
2015-01-07 00:00:00,2015,1,2,0,36.11,0.036109999999999996
2015-01-07 01:00:00,2015,1,2,1,34.31,0.03431
2015-01-07 02:00:00,2015,1,2,2,32.55,0.032549999999999996
2015-01-07 03:00:00,2015,1,2,3,32.08,0.03208
2015-01-07 04:00:00,2015,1,2,4,29.48,0.02948
2015-01-07 05:00:00,2015,1,2,5,34.94,0.03494
2015-01-07 06:00:00,2015,1,2,6,35.78,0.03578
2015-01-07 07:00:00,2015,1,2,7,45.98,0.04598
2015-01-07 08:00:00,2015,1,2,8,47.91,0.047909999999999994
2015-01-07 09:00:00,2015,1,2,9,48.91,0.048909999999999995
2015-01-07 10:00:00,2015,1,2,10,50.0,0.05
2015-01-07 11:00:00,2015,1,2,11,51.22,0.05122
2015-01-07 12:00:00,2015,1,2,12,50.15,0.05015
2015-01-07 13:00:00,2015,1,2,13,51.46,0.05146
2015-01-07 14:00:00,2015,1,2,14,50.88,0.05088
2015-01-07 15:00:00,2015,1,2,15,48.0,0.048
2015-01-07 16:00:00,2015,1,2,16,47.14,0.04714
2015-01-07 17:00:00,2015,1,2,17,51.07,0.05107
2015-01-07 18:00:00,2015,1,2,18,47.42,0.047420000000000004
2015-01-07 19:00:00,2015,1,2,19,44.83,0.044829999999999995
2015-01-07 20:00:00,2015,1,2,20,39.1,0.0391
2015-01-07 21:00:00,2015,1,2,21,42.0,0.042
2015-01-07 22:00:00,2015,1,2,22,37.92,0.03792
2015-01-07 23:00:00,2015,1,2,23,33.51,0.03351
2015-01-08 00:00:00,2015,1,3,0,33.11,0.03311
2015-01-08 01:00:00,2015,1,3,1,32.32,0.03232
2015-01-08 02:00:00,2015,1,3,2,31.1,0.031100000000000003
2015-01-08 03:00:00,2015,1,3,3,30.17,0.030170000000000002
2015-01-08 04:00:00,2015,1,3,4,24.54,0.02454
