model,type,new_2024,new_2025,battery_kWh,wltp_km,ac_kW,dc_kW,kWh_per_100km,new_2024_2025,share_top20
Tesla Model Y,BEV,19058,17800,75.0,455,11.0,250,16.48,36858,16.67767712509389
Volvo EX30,BEV,10802,12500,64.0,476,11.0,153,13.45,23302,10.543795983746755
Tesla Model 3,BEV,10702,11900,60.0,513,11.0,250,11.7,22602,10.227056768717025
Kia EV3,BEV,7280,9100,81.0,605,11.0,102,13.39,16380,7.411697631695641
Volkswagen ID.4,BEV,6940,6500,77.0,541,11.0,175,14.23,13440,6.081392928570782
Volkswagen ID.3,BEV,6210,6800,58.0,427,11.0,120,13.58,13010,5.886824553623949
Hyundai Kona Electric,BEV,5430,5800,64.0,514,11.0,100,12.45,11230,5.08140197826264
Skoda Enyaq,BEV,5160,4900,77.0,544,11.0,175,14.15,10060,4.551995004570094
Renault Megane E-Tech,BEV,4870,4200,60.0,450,22.0,130,13.33,9070,4.104035257599479
BMW iX1,BEV,4290,4500,66.0,474,11.0,130,13.92,8790,3.9773395715875877
Peugeot e-208,BEV,3820,4100,51.0,410,11.0,100,12.44,7920,3.5836779757649255
Audi Q4 e-tron,BEV,3540,3600,77.0,517,11.0,175,14.89,7140,3.230739993303228
Ford Mustang Mach-E,BEV,3210,2800,91.0,600,11.0,150,15.17,6010,2.7194324033266666
MG4 Electric,BEV,2950,3300,64.0,450,11.0,144,14.22,6250,2.828028705622574
Cupra Born,BEV,2620,2400,58.0,421,11.0,120,13.78,5020,2.271472656356051
Volvo XC60 PHEV,PHEV,2820,3400,14.7,78,3.7,0,18.85,6220,2.8144541678355854
Mercedes GLC PHEV,PHEV,2510,3100,31.2,127,11.0,60,24.57,5610,2.538438566166822
BMW 330e,PHEV,2160,2400,12.0,59,3.7,0,20.34,4560,2.0633297436222295
Volkswagen Tiguan eHybrid,PHEV,1890,2200,19.7,95,11.0,50,20.74,4090,1.8506619849594124
Toyota RAV4 Plug-in,PHEV,1640,1800,18.1,75,6.6,0,24.13,3440,1.5565469995746646
