driver_id,model,battery_kWh,annual_km,sessions,location,plugin_hour,window_h,cost_unc,cost_po,cost_sm,cost_fix,peak_kwh_unc,peak_kwh_sm,save_po_vs_unc_pct,save_sm_vs_unc_pct,save_unc_vs_fix_pct,save_sm_vs_fix_pct,peak_drop_pct
0,Renault Megane E-Tech,60.0,9324.599314145613,40,private,20,12,374.2481583538651,313.10905235708776,314.9802532993655,430.98602093002165,1351.0533571474025,2.445652173913044,16.336514858402616,15.836525506281774,13.16466423985686,26.916364335977338,99.81898182177818
1,Kia EV3,81.0,12974.34348824048,40,private,19,15,503.0429825601844,408.3605890029224,418.6824744440958,602.3776143381004,1320.0,12.153929159657618,18.821929107406664,16.770039746254806,16.490425509431674,30.495014343428252,99.07924779093503
2,Peugeot e-208,51.0,11025.80000446571,45,private,16,14,404.7593417994644,335.6632938715913,344.6518806509169,475.59069245349525,995.8799136473206,8.674143008587784,17.07089640493247,14.850172668362372,14.89334248503128,27.531828078275932,99.1289970919466
3,Skoda Enyaq,77.0,10330.677309366822,40,private,19,12,464.2150341073728,381.0612309128602,384.8945777664849,506.86008448788476,1320.0,2.49431628465775,17.912776856614933,17.08700720850439,8.413574413459523,24.0629535554432,99.81103664510168
4,Tesla Model Y,75.0,10717.461571936557,40,private,22,13,471.7354342260697,415.75190922803256,431.9363281307591,612.4237128158602,0.0,0.0,11.867568330940381,8.43674297238347,22.972376092839465,29.470998739620814,
5,Cupra Born,58.0,11438.637220309503,46,private,8,14,373.9548550003,320.1318009078327,336.0387894204972,546.5455463671834,0.0,227.84048824930412,14.39292828339509,10.139209338456734,31.57846450567041,38.51586722202697,
6,Renault Megane E-Tech,60.0,12300.823097320617,46,workplace,9,7,417.94440921996846,370.5044899257153,377.77720959304384,568.5480546961254,0.0,0.0,11.350772554367406,9.610656044398535,26.489167315267803,33.554040599970705,
7,Renault Megane E-Tech,60.0,8760.630219214056,40,private,14,14,289.6656136029476,273.3679924814514,279.47605269881774,404.91918545931884,0.0,0.0,5.626356859822446,3.5176977955336253,28.463351699582653,30.979794799845074,
8,Tesla Model Y,75.0,8668.923084559414,40,workplace,9,8,331.8652134048614,308.7475623925316,318.7422156266619,495.36487963368467,0.0,0.0,6.965975968119087,3.954315561899513,33.005905939421666,35.655063826412714,
9,Kia EV3,81.0,13369.247481731541,40,private,19,13,512.5846645410176,427.79625049210085,433.6098088097905,620.712362890684,1320.0,6.25,16.54134817412819,15.407182694773624,17.419936320602847,30.143197601147964,99.52651515151516
10,Tesla Model 3,60.0,10046.98224987164,40,private,18,15,364.82871404975407,282.811328647133,288.06280954688873,407.5907809912603,1277.7140469945452,1.6304347826086956,22.481066386522365,21.041629001931106,10.491421527618694,29.325484534679536,99.8723943916525
11,Ford Mustang Mach-E,91.0,7847.115817212845,40,private,18,13,377.145675138137,295.52816478637624,298.0702671680012,412.7608508275102,1293.9211624686836,0.0,21.64084483319787,20.966807571417302,8.628525602166793,27.786206814327308,100.0
12,Hyundai Kona Electric,64.0,11921.949833548999,40,private,16,15,472.41204929812534,366.33464660692346,374.2978879344733,514.6589115372991,1173.3508198661418,4.3478260869565215,22.454423600922922,20.76876775463766,8.208710913599326,27.272630562941945,99.62945216269993
13,BMW iX1,66.0,11964.779875211585,42,private,10,12,424.8545063044591,407.84949876263437,422.54146697478666,577.4931058726039,0.0,411.7613969834831,4.002548470002254,0.5444309276114612,26.431241865217547,26.83177293756298,
14,Kia EV3,81.0,7597.733586607813,40,public,11,4,228.31125367348557,223.62415460775964,226.83772329057317,352.7503828170918,0.0,0.0,2.052942634369259,0.6454041836324587,35.27682327367748,35.694549364049,
15,Volvo EX30,64.0,11452.564956865297,40,private,20,14,433.3420513208609,375.42723582971917,383.3751482175162,534.1065497356345,880.0,10.054347826086959,13.364688544444924,11.530591815643465,18.865991900801216,28.221223198390945,98.8574604743083
16,Volkswagen ID.4,77.0,12560.926972418138,40,private,18,15,545.8259066626448,437.1619137536575,445.32032057468524,619.7684246824535,1760.0,6.451627939540796,19.908177970773487,18.41348768190265,11.930668790959164,28.147304244669947,99.63343023070792
17,Tesla Model Y,75.0,11769.906329236715,43,private,17,12,621.4593376424757,496.6320055908166,502.7653689828219,672.5631517560537,2108.348438106749,25.508370225389825,20.086162439073686,19.09923328369687,7.598366633697751,25.2463701482741,98.79012549518164
18,BMW iX1,66.0,12334.039449437456,44,private,20,15,488.76362823596753,413.24000582139047,427.4913163890432,595.3158205917175,968.0,5.7065217391304355,15.45197270246047,12.536184836025278,17.8984311637883,28.19083558637232,99.41048329141215
19,Volkswagen ID.3,58.0,7874.650675181259,40,private,7,12,303.5405473700708,246.63916573880107,256.7612279115799,370.79504584672515,0.0,9.510869565217392,18.745891487734802,15.411225901710734,18.137917221379286,30.75386772623796,
20,Renault Megane E-Tech,60.0,11674.97793944167,44,private,15,13,388.76027601673127,359.87589266245647,370.47446452590856,539.6212874190179,0.0,0.0,7.429870060343225,4.703621388013346,27.956831007139737,31.345468912490514,
21,Tesla Model 3,60.0,10287.262726759722,40,private,14,13,286.7083161862195,272.80050405386686,290.8812485757637,417.3385942944058,0.0,26.38122872534408,4.850857595396507,-1.4554626266347404,31.300790268161716,30.3008989457214,
22,MG4 Electric,64.0,9892.689552393027,40,private,23,13,369.03016243631197,323.88844882155115,342.7163619217815,487.77196188885,0.0,0.0,12.232526825649781,7.130528393887515,24.34371155585119,29.738404685122653,
23,Audi Q4 e-tron,77.0,12856.5167846292,42,public,18,6,585.2697795853328,546.5203872601555,550.7467104020104,663.7749743530227,1848.0,1165.4891304347823,6.620774500373394,5.898659112005101,11.827079628033344,17.02809962987535,36.93240636175421
24,Renault Megane E-Tech,60.0,14189.611178376565,53,public,17,5,620.9839485186975,530.7440780158013,538.8605233959127,655.8484557116883,2055.951271823472,2055.951271823473,14.531755727045038,13.22472590776026,5.315939511538204,17.83764698947521,-4.440892098500626e-14
25,Volvo EX30,64.0,14879.670419574786,53,private,0,15,500.90051624407715,415.0119750640137,447.82854465705253,693.9344556381152,0.0,0.0,17.146826244876923,10.595311816601106,27.817315861125746,35.46529632323174,
26,Kia EV3,81.0,13829.429238597932,40,workplace,8,7,456.19287258327034,417.05498312990426,427.9570488075722,642.0778515656474,0.0,0.0,8.579241764944967,6.189448689938515,28.950535909175766,33.34810603355363,
27,Tesla Model Y,75.0,10709.682142229898,40,public,17,6,544.531725648223,511.4189315651718,517.6704720690777,611.9791759082573,1918.4300185211828,1483.6474098255278,6.0809669158638835,4.932908830457761,11.021200216483418,15.41044328823984,22.663459417237753
28,Tesla Model Y,75.0,11722.457157027691,43,private,17,13,613.0475644982788,493.193747183376,500.7355477839427,669.8517822755803,2099.8488472588742,30.117385184849702,19.550492368890136,18.320277775877447,8.480117434983836,25.246814141051633,98.5657355659592
29,Hyundai Kona Electric,64.0,12629.342089207494,41,public,21,5,428.4131747429407,414.481156587677,416.9907514840806,545.1963431999128,451.0,183.42432265460405,3.252005068150232,2.66621661803792,21.42038733633802,23.51549002756641,59.329418480132134
30,Skoda Enyaq,77.0,11215.379708965822,40,workplace,14,9,419.5114504555469,398.1456848616425,411.9512957221156,550.2667576012543,404.97416175941686,625.3409877052886,5.093011304149941,1.80213310631252,23.762167228800337,25.136074452705305,-54.41503353904962
31,MG4 Electric,64.0,11236.373571526283,42,public,15,5,444.53026177797506,438.11554785066704,444.398845774504,554.0240550835439,812.7525237728677,887.6034827890346,1.4430320000378027,0.029562892511614258,19.763364478652058,19.787084748966176,-9.209563406669275
32,Tesla Model 3,60.0,12754.019358808839,42,public,19,5,440.8056014448518,413.63650700115403,416.85956660059014,517.4111570965457,1386.0,727.1739130434781,6.163509346216156,5.432334517930915,14.805547696645394,19.43359533648271,47.53434970826276
