year,historical,low,central,high,ehv_historical,ehv_low,ehv_central,ehv_high
2020,170000.0,170000,170000,170000,1734.0,1734.0,1734.0,1734.0
2021,235000.0,235000,235000,235000,2397.0,2397.0,2397.0,2397.0
2022,311000.0,311000,311000,311000,3172.0,3172.0,3172.0,3172.0
2023,425000.0,425000,425000,425000,4335.0,4335.0,4335.0,4335.0
2024,490000.0,490000,490000,490000,4998.0,4998.0,4998.0,4998.0
2025,620000.0,620000,620000,620000,6324.0,6324.0,6324.0,6324.0
2026,,720000,770000,820000,,7344.0,7854.0,8364.0
2027,,830000,950000,1080000,,8466.0,9690.0,11016.0
2028,,960000,1180000,1440000,,9792.0,12036.0,14688.0
2029,,1100000,1440000,1950000,,11220.0,14688.0,19890.0
2030,,1250000,1750000,2600000,,12750.0,17850.0,26520.0
