driver_id,model,ac_kW,annual_km,annual_kWh,sessions,location,plugin_hour,window_h,has_solar,pv_kwp,cost_fix,cost_unc,cost_po,cost_sm,cost_sm_ext,peak_kwh_unc,peak_kwh_sm,peak_kwh_sm_ext,sc_kwh_total,solar_value_total,ere_revenue_ext,ere_revenue_grid_only,value_baseline_smart,value_extended
0,Renault Megane E-Tech,22.0,9324.599314145613,1242.9690885756102,40,public,10,6,True,5.81036510515088,430.98602093002165,300.1958531926909,277.7835246394245,282.3867565533744,192.52521644288262,0.0,0.0,0.0,415.47771647880916,103.45395140322347,143.90437196595775,101.72797605682524,250.32724043347247,485.8191278563202
1,Kia EV3,11.0,12974.34348824048,1737.2645930754004,40,private,19,12,False,0.0,602.3776143381004,504.39222195646306,432.7758765567542,437.54699529720693,437.54699529720693,1320.0,11.536119188880457,11.536119188880457,0.0,0.0,154.54615935439375,142.18246660604234,307.01308564693585,319.37677839528726
2,Peugeot e-208,11.0,11025.80000446571,1371.6095205555341,45,private,13,12,False,0.0,475.59069245349525,331.0874041645129,313.52411069267833,334.15029143882566,334.15029143882566,0.0,140.7744987117491,140.7744987117491,0.0,0.0,122.01767328978138,112.25625942659893,253.69666044126853,263.458074304451
3,Skoda Enyaq,11.0,10330.677309366822,1461.7908392754052,40,private,16,14,False,0.0,506.86008448788476,442.55506045363427,348.8000724553061,358.1635586238983,358.1635586238983,1148.9030861689198,6.026924980309924,6.026924980309924,0.0,0.0,130.04015674407108,119.63694420454537,268.3334700685318,278.73668260805755
4,Tesla Model Y,11.0,10717.461571936557,1766.2376670551448,40,private,18,14,True,6.74073842257417,612.4237128158602,536.3663438172156,443.2993068935945,448.5569117915312,442.5705660285042,1760.0,10.054347826086957,45.92123196850964,28.365958654997225,7.063123705094308,159.39916511624935,144.55370190319815,308.42050292752714,336.31543560869966
5,Cupra Born,11.0,11438.637220309503,1576.2442089586496,46,private,18,12,True,2.4577991718528445,546.5455463671834,504.92404020740673,392.5210596457018,396.6017112088187,395.3905451417552,1713.308922781141,3.2784548430682765,22.643939567849234,6.773960116028398,1.686716068891072,140.76529043716317,129.00411975040112,278.94795490876584,293.6070077314825
6,Renault Megane E-Tech,22.0,12300.823097320617,1639.6997188728385,46,private,18,14,False,0.0,568.5480546961254,520.4542508092165,396.49086433789336,398.67259319325393,398.67259319325393,1782.282303122649,0.0,0.0,0.0,0.0,145.86683862455138,134.19749153458736,304.07295303745883,315.7423001274228
7,Renault Megane E-Tech,22.0,8760.630219214056,1167.7920082212336,40,workplace,10,7,True,3.173361327307971,404.91918545931884,277.60194947285515,237.46929757990225,242.1114736185079,189.20542493786343,0.0,0.0,0.0,267.51378943380143,66.61093356901655,125.34668439293704,95.57527901825617,258.38299085906715,407.671378483409
8,Tesla Model Y,11.0,8668.923084559414,1428.6385243353914,40,private,21,15,False,0.0,495.36487963368467,399.2504935330105,311.00196175629634,332.7004121500413,332.7004121500413,440.0,0.0,0.0,0.0,0.0,127.09094395972693,116.92366844294875,279.58813592659214,289.7554114433703
9,Kia EV3,11.0,13369.247481731541,1790.1422378038533,40,private,20,12,True,5.711663274269732,620.712362890684,510.2529895281319,446.56537786993187,452.77108903563504,451.33814401923127,880.0,3.8043478260869565,10.896621321385126,8.257391023478622,2.056090364846176,159.91255232125062,146.51011708932316,314.45139094437206,331.3428615575495
