car,kwh,is_dc,stored_kwh,self_cons_value,arbitrage_value,backup,gross,capex_yr,net_vs_nothing,net_adv_vs_battery
VW ID.7 (77 kWh),77.0,True,573.812462221692,189.3581125331584,0.0,22.619016720132507,211.9771292532909,970.8753614555411,-758.8982322022503,-708.8982322022503
Hyundai Ioniq 5/6,77.4,True,1291.1194345366778,426.0694133971037,1315.9804625398824,42.293819480085595,1784.3436954170718,900.6076865772629,883.7360088398088,933.7360088398088
VW ID.7 (77 kWh),77.0,True,0.0,0.0,1148.8702459302715,55.711035123010305,1204.5812810532818,965.2401820368807,239.34109901640113,289.34109901640113
Kia EV9,99.8,True,3250.3821101045064,1072.626096334487,0.0,47.27380726427821,1119.8999035987654,828.1008487041415,291.79905489462385,341.79905489462385
Renault 5 E-Tech,52.0,False,1046.4899332846337,345.3416779839291,535.8096161426477,31.001636548974655,912.1529306755514,519.764586109485,392.3883445660664,442.3883445660664
Renault 4 E-Tech,52.0,False,1940.5852115699008,640.3931198180672,0.0,16.9372092851193,657.3303291031865,459.5,197.8303291031865,247.8303291031865
Kia EV9,99.8,True,2802.2764809128394,924.7512387012371,0.0,8.214490442958445,932.9657291441955,879.4973769286942,53.46835221550134,103.46835221550134
VW ID.7 (77 kWh),77.0,True,2921.0879428765365,963.9590211492571,317.2071682630569,36.89582037262657,1318.0620097849405,836.4025954439091,481.6594143410314,531.6594143410314
Renault 5 E-Tech,52.0,False,0.0,0.0,504.65168450557707,17.12917329289062,521.7808577984677,652.4244839283049,-130.64362612983723,-80.64362612983723
Hyundai Ioniq 5/6,77.4,True,1118.3697008017207,369.06200126456787,0.0,37.150962482668284,406.21296374723613,818.5519966252552,-412.3390328780191,-362.3390328780191
Hyundai Ioniq 5/6,77.4,True,2885.2090534684153,952.118987644577,0.0,11.1198187109312,963.2388063555082,846.8104033466668,116.42840300884143,166.42840300884143
Nissan Leaf (new),52.0,True,1884.369314249501,621.8418737023354,0.0,45.715207774512855,667.5570814768482,987.885427688481,-320.3283462116327,-270.3283462116327
Kia EV6 (post-24),77.4,True,1249.3312693859425,412.27931889736107,0.0,17.838055218960967,430.117374116322,854.0385896328,-423.921215516478,-373.921215516478
VW ID.7 (77 kWh),77.0,True,0.0,0.0,622.0427002614258,9.263369681407907,631.3060699428337,828.9505860645456,-197.64451612171194,-147.64451612171194
Hyundai Ioniq 5/6,77.4,True,353.18221404733646,116.55013063562103,0.0,27.0748252236143,143.62495585923534,927.4496903357224,-783.824734476487,-733.824734476487
Renault 5 E-Tech,52.0,False,1237.730018224334,408.4509060140302,375.8174536717757,12.74869142081858,797.0170511066244,577.3343102401461,219.6827408664783,269.6827408664783
Kia EV6 (post-24),77.4,True,2082.5169965910177,687.2306088750358,0.0,12.554946480319892,699.7855553553558,896.0597189208471,-196.27416356549134,-146.27416356549134
Renault 5 E-Tech,52.0,False,1837.2818219986518,606.3030012595551,375.75465298567826,37.734342882946486,1019.7919971281799,601.2941533493824,418.49784377879746,468.49784377879746
VW ID.7 (77 kWh),77.0,True,2645.2369998313507,872.9282099443458,605.0995555771226,17.968769649389827,1495.9965351708581,962.0693127939554,533.9272223769027,583.9272223769027
Kia EV6 (post-24),77.4,True,2173.5745194284364,717.279591411384,0.0,38.06418124477719,755.3437726561611,781.5044194503604,-26.160646794199238,23.839353205800762
Kia EV9,99.8,True,0.0,0.0,0.0,32.76591869113796,32.76591869113796,793.6036808981546,-760.8377622070167,-710.8377622070167
Hyundai Ioniq 5/6,77.4,True,0.0,0.0,0.0,24.471932580375313,24.471932580375313,857.0756967564739,-832.6037641760986,-782.6037641760986
Renault 4 E-Tech,52.0,False,0.0,0.0,970.2891877361512,23.488949307742384,993.7781370438936,634.113157910919,359.6649791329746,409.6649791329746
VW ID.7 (77 kWh),77.0,True,2515.256632479861,830.0346887183541,0.0,17.099365763731456,847.1340544820856,885.1056539103632,-37.971599428277614,12.028400571722386
VW ID.7 (77 kWh),77.0,True,1557.964570729324,514.1283083406769,321.2091722751308,16.235871788958036,851.5733524047657,764.0,87.57335240476573,137.57335240476573
Renault 5 E-Tech,52.0,False,0.0,0.0,1049.1843299544073,29.72173733095758,1078.9060672853648,568.1540925950883,510.7519746902765,560.7519746902765
Hyundai Ioniq 5/6,77.4,True,0.0,0.0,0.0,35.98944505853905,35.98944505853905,956.0023038809325,-920.0128588223934,-870.0128588223934
Renault 5 E-Tech,52.0,False,1645.5447559774216,543.0297694725491,0.0,35.24422601102098,578.27399548357,689.5,-111.22600451642995,-61.22600451642995
Renault 5 E-Tech,52.0,False,1258.6553536459326,415.35626670315776,375.47604761549735,46.989754302179485,837.8220686208346,603.9642512272496,233.85781739358492,283.8578173935849
Kia EV9,99.8,True,1696.2153634994106,559.7510699548055,713.3046275093999,26.652589560442554,1299.708287024648,811.13780708688,488.5704799377679,538.5704799377679
Kia EV9,99.8,True,2124.3249363226337,701.0272289864691,1383.1023088163136,50.83176386807721,2134.96130167086,880.4657600882823,1254.4955415825775,1304.4955415825775
Renault 4 E-Tech,52.0,False,2444.175982396487,806.5780741908408,248.5060244514173,26.092815788723133,1081.1769144309812,623.6813734745829,457.4955409563984,507.4955409563984
Hyundai Ioniq 5/6,77.4,True,1566.0517890900999,516.797090399733,0.0,29.93917471441878,546.7362651141517,830.7800513645645,-284.04378625041284,-234.04378625041284
Hyundai Ioniq 5/6,77.4,True,496.3666144411603,163.80098276558292,0.0,63.36239685016359,227.16337961574652,829.2351673380987,-602.0717877223522,-552.0717877223522
Hyundai Ioniq 5/6,77.4,True,1085.1166065971236,358.08848017705077,0.0,41.08704208279107,399.17552225984184,994.0,-594.8244777401582,-544.8244777401582
Renault 5 E-Tech,52.0,False,1538.5184055696911,507.71107383799813,423.61843154770173,29.0683840259968,960.3978894116966,608.6397161899943,351.75817322170235,401.75817322170235
Renault 5 E-Tech,52.0,False,1348.8683637750212,445.126560045757,0.0,37.35326713321938,482.4798271789764,638.978793316917,-156.49896613794056,-106.49896613794056
Hyundai Ioniq 5/6,77.4,True,0.0,0.0,1008.5982881705947,30.275792481558554,1038.8740806521532,764.0,274.8740806521532,324.8740806521532
Renault 5 E-Tech,52.0,False,1135.1645187367797,374.6042911831373,217.85365154877564,56.53617937910453,648.9941221110174,492.86726343876325,156.12685867225417,206.12685867225417
Kia EV6 (post-24),77.4,True,0.0,0.0,0.0,21.169171830637183,21.169171830637183,764.0,-742.8308281693628,-692.8308281693628
Hyundai Ioniq 5/6,77.4,True,927.5126828180076,306.07918532994256,1108.0566839076657,6.944111284242124,1421.0799805218505,856.4523677043813,564.6276128174692,614.6276128174692
VW ID.7 (77 kWh),77.0,True,1363.0325888184807,449.8007543100986,0.0,24.477597558537557,474.2783518686362,825.969184539727,-351.69083267109085,-301.69083267109085
Kia EV9,99.8,True,2857.869468846852,943.0969247194613,0.0,18.995143120220902,962.0920678396822,895.9056235699669,66.18644426971525,116.18644426971525
Hyundai Ioniq 5/6,77.4,True,0.0,0.0,0.0,19.41320913108633,19.41320913108633,894.6380881842999,-875.2248790532136,-825.2248790532136
VW ID.7 (77 kWh),77.0,True,2130.796238777395,703.1627587965404,574.3777450303779,6.392379733961323,1283.9328835608796,939.1991141656908,344.7337693951888,394.7337693951888
VW ID.7 (77 kWh),77.0,True,969.7083831179004,320.00376642890717,0.0,42.042954679921344,362.04672110882854,925.9021255849109,-563.8554044760824,-513.8554044760824
Hyundai Ioniq 5/6,77.4,True,1833.6811194123516,605.114769406076,485.9220531122902,36.06387006312135,1127.1006925814875,856.696021026336,270.4046715551515,320.4046715551515
Renault 5 E-Tech,52.0,False,0.0,0.0,337.59277283220445,54.46261061319893,392.0553834454034,631.606148999774,-239.55076555437057,-189.55076555437057
Kia EV9,99.8,True,1863.932966834965,615.0978790555386,0.0,33.33670559040853,648.4345846459471,811.2254926927515,-162.79090804680436,-112.79090804680436
Renault 5 E-Tech,52.0,False,1339.806685177522,442.13620610858226,434.7859185805974,41.490408260960514,918.4125329501402,573.3670233471687,345.0455096029715,395.0455096029715
Renault 5 E-Tech,52.0,False,1127.8286219541478,372.1834452448688,0.0,24.877908893464102,397.0613541383329,493.07617541903426,-96.01482128070137,-46.01482128070137
Renault 5 E-Tech,52.0,False,1838.5165518235049,606.7104621017567,0.0,18.083171877214173,624.7936339789709,557.5445926120531,67.24904136691782,117.24904136691782
VW ID.7 (77 kWh),77.0,True,1411.8305826669316,465.90409228008747,0.0,12.98395670217681,478.88804898226425,838.5783643738954,-359.69031539163115,-309.69031539163115
Kia EV6 (post-24),77.4,True,2440.6334440964806,805.4090365518387,142.585718294554,43.10772412841912,991.1024789748118,958.3807593698026,32.721719605009184,82.72171960500918
Kia EV9,99.8,True,2863.5385077517753,944.9677075580859,372.79899241990984,37.39112387537064,1355.1578238533664,913.4597065039277,441.6981173494387,491.6981173494387
VW ID.7 (77 kWh),77.0,True,1461.8875484882783,482.42289100113186,0.0,35.36833751281945,517.7912285139513,838.9293939559664,-321.13816544201507,-271.13816544201507
Hyundai Ioniq 5/6,77.4,True,2083.4050513292455,687.523666938651,0.0,17.080829349029965,704.604496287681,853.7064604050111,-149.1019641173301,-99.10196411733011
Kia EV6 (post-24),77.4,True,0.0,0.0,0.0,51.2106330603807,51.2106330603807,868.1066117437204,-816.8959786833396,-766.8959786833396
