driver,annual_kWh,sessions,cost_unc,cost_po,cost_smart,peak_unc,peak_po,peak_smart,savings_po_eur,savings_smart_eur,savings_po_pct,savings_smart_pct,peak_drop_smart_pct
0,2870.753648674099,103,929.7990945136722,754.240237199698,753.0724027400876,11.0,0.34839788879236017,0.18203883495145634,175.55885731397427,176.72669177358466,18.881375379893186,19.006976110900695,98.3451015004413
1,2755.8909076335326,144,803.2679466655325,703.900495756685,727.8805474822245,11.0,0.433381596535567,0.13502514570509244,99.36745090884745,75.38739918330793,12.370399107960724,9.38508744140117,98.77249867540824
2,3004.2926910456013,80,807.8197827162144,685.3147236451913,733.2198705895811,0.0,0.0,0.25621354994755485,122.50505907102308,74.59991212663328,15.164899609057839,9.23472211534588,
3,2849.9268771487523,113,809.4852946777203,738.5062923250172,744.4110859054703,11.0,0.24107133031477862,0.1797920706651558,70.9790023527031,65.07420877225002,8.768411584420681,8.038961201655672,98.36552663031677
4,2453.8478575269746,141,777.3707500347888,621.6030282634703,634.7163698228105,11.0,0.0561453615056857,0.08597884901724909,155.76772177131852,142.65438021197826,20.037764704209366,18.350880864194366,99.21837409984319
5,3315.7436456119026,153,1067.2263641408938,849.6022274976916,879.6695617519792,11.0,0.502562444362876,0.15051227892874774,217.62413664320218,187.55680238891455,20.39156302312559,17.574228738239224,98.6317065551932
8,2541.570424767103,92,755.1797783732087,673.5301104236624,668.406841392453,11.0,0.2068261517792881,0.26141027276227485,81.64966794954626,86.77293698075573,10.811951046336825,11.490368183279488,97.62354297488841
9,2770.5628309630574,87,799.7696182272547,724.7865169594749,740.6563636824909,11.0,0.12643678160919541,0.3209782554019133,74.98310126777983,59.11325454476378,9.375587614091307,7.391285339869805,97.0820158599826
10,2793.720682510917,105,878.3145735775912,692.311530274275,724.8905589238144,11.0,0.4613669306493558,0.15379776027910055,186.0030433033162,153.4240146537768,21.177269386033302,17.46800283967088,98.60183854291726
11,3406.5404583883183,147,1067.2496282970199,855.4134068350965,884.6202864242877,11.0,0.19304561690160485,0.09813098080937267,211.8362214619234,182.6293418727322,19.848797867462785,17.11214855742313,99.10790017446026
